Borough,Phase,Total_Schools,Total_Capacity,Total_Pupils,Avg_FSM_Percent
Redbridge,Not applicable,24,4702,3784,50.3
Redbridge,Primary,52,30563,28109,18.4
Redbridge,Secondary,15,21553,20809,23.4
Richmond upon Thames,16 plus,1,0,0,0
Richmond upon Thames,Not applicable,28,12647,10916,38.8
Richmond upon Thames,Nursery,1,0,89,0
Richmond upon Thames,Primary,45,18229,16011,14.4
Richmond upon Thames,Secondary,11,11278,12487,18.5
Southwark,All-through,1,1645,1275,63.9
Southwark,Not applicable,31,7616,7039,66.6
Southwark,Nursery,4,0,402,26.3
Southwark,Primary,66,24288,19802,40.6
Southwark,Secondary,19,19535,18425,44.3
Sutton,Not applicable,16,3413,2213,50.6
Sutton,Nursery,2,0,142,0
Sutton,Primary,41,19290,17256,18.1
Sutton,Secondary,15,20682,21636,16.3
Tower Hamlets,16 plus,3,300,275,0
Tower Hamlets,All-through,1,1620,1884,48.9
Tower Hamlets,Not applicable,25,3972,3199,63.4
Tower Hamlets,Nursery,3,0,236,11.2
Tower Hamlets,Primary,66,26779,23491,40.2
Tower Hamlets,Secondary,17,19396,17343,45.2
Waltham Forest,16 plus,4,500,0,0
Waltham Forest,All-through,2,2235,2158,37.5
Waltham Forest,Not applicable,13,3328,3064,53.6
Waltham Forest,Nursery,3,0,264,0
Waltham Forest,Primary,51,26689,23992,23.5
Waltham Forest,Secondary,15,15761,14563,32.2
Wandsworth,16 plus,1,0,0,0
Wandsworth,Not applicable,41,12702,10749,59.9
Wandsworth,Nursery,3,0,119,15.7
Wandsworth,Primary,58,22723,17396,31.8
Wandsworth,Secondary,11,14560,12852,37.7
Westminster,16 plus,3,600,619,0
Westminster,All-through,1,1300,1307,62.1
Westminster,Not applicable,41,12537,9665,63.9
Westminster,Nursery,4,0,265,26.6
Westminster,Primary,33,9857,7164,37.2
Westminster,Secondary,10,11442,10646,45.1
